Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0x0dff8a228939ad2498ae482ce5d58d3d2e494841,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x0c4a5f2202fb934bbb4cd32845046a984422b51c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xef94af0495ddc90f0d81ad2487578e9c554c40e9,0.0,"0xaa12a62eafee34ef96e0ae27483887e9e9853b0d18b860ff8329f26bb7c11ac9,0x7afa1fe3ac43c4c9f82e2eb42336d017683c975127dd336d9272106545dc5bb3,0xa9fba93072a7d60f19a233e3d9cbe507f06592fe223a394de0dee6860afb0fb7",0.0,,0.0,,0.0,322.2826865411,0.0
0x20b49fd520ce4f3ab71b01e00f59ce58cf791902,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa31e8272f5ebc398bd01368e1bc91076068dfe2f,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa6bb66053eeee083fdf3195ab680a7a6e24bd8f2,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xab88549e857a35bf305c0d6ee52751fcc174ca4a,0.0,,0.0,,0.0,,0.0,0.0,0.1427821886
0xfb3a77a3b9dee2394a3ba3b716cd9c14ac123665,0.0,,0.0,,0.0,,0.0,0.0,10585.4093130273
0x05f8c3a4a3dccdbb5dde12728cbc032099f5fbb8,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x137b8aa268fdead653bbafe73326a787a4424bf0,0.0,,0.0,,0.0,,0.2746218961,0.0925394872,0.0
0xd2d44632aed47bae5a3926cf49abcf1fc1809925,0.0,,0.0,,0.0,,0.0,0.0027032972,0.0
0xb8972e9db4c65a681312b85b12827d0426b655f4,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x3d9f8f6d893940f1cffbce740aae78d3abd75053,0.0,,0.0,,0.0,,1.2695,0.0,0.0
0x2503889977c91af02d2510fa41c71bbea6699055,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xc3ccfe66c98eb0590ad31a28ba96cc3e6c799f0a,0.0,,0.0,,0.0,,0.0,0.0,0.0
